slug,image,name
car-dusan,images/kritors/car - dusan.jpg,Stefan Uroš IV Dušan Silni
kralj-dragutin,images/kritors/kralj - dragutin.jpg,Stefan Dragutin Nemanjić
kralj-milutin,images/kritors/kralj - milutin.jpg,Stefan Uroš II Milutin
stefan-decanski,images/kritors/stefan - decanski.jpg,Stefan Uroš III Dečanski
stefan-nemanja,images/kritors/stefan - nemanja.jpg,Stefan Nemanja (Sveti Simeon Mirotočivi)
stefan-prvovencani,images/kritors/stefan - prvovencani.jpg,Stefan Prvovenčani (Stefan Nemanjić)
stefan-radoslav,images/kritors/stefan - radoslav.jpg,Stefan Radoslav Nemanjić
stefan-uros-i,images/kritors/stefan - uros - I.jpg,Stefan Uroš I Nemanjić
stefan-vladislav,images/kritors/stefan - vladislav.jpg,Stefan Vladislav Nemanjić
sveti-sava,images/kritors/sveti - sava.jpg,Sveti Sava (Rastko Nemanjić)
uros-nejaki,images/kritors/uros - nejaki.jpg,Stefan Uroš V Nejaki
ana-dandolo,images/kritors/ana - dandolo.jpg,Kraljica Ana Dandolo
ana-zena-stefana-nemanje,images/kritors/ana - zena - stefana - nemanje.jpg,Ana Nemanjić (Sveta Anastasija)
carica-jelena,images/kritors/carica - Jelena.jpg,Carica Jelena (Sveta Jelisaveta)
jelena-anzujska,images/kritors/jelena - anzujska.jpg,Kraljica Jelena Anžujska (Sveta Jelena)
kneginja-milica,images/kritors/kneginja - milica.jpg,Kneginja Milica Hrebeljanović (Sveta Evgenija)
lazar-hrebveljanovic,images/kritors/lazar - hrebveljanovic.jpg,Knez Lazar Hrebeljanović
simonida,images/kritors/simonida.jpg,Kraljica Simonida Paleolog
stefan-lazarevic,images/kritors/stefan - lazarevic.jpg,Sveti Despot Stefan Lazarević
